	GaAs_ABS.txt
100	0.12145336642137503
250	0.15794371136695343
500	0.1847143285516359
1000	0.21617353395770528
2000	0.24983842644070717
5000	0.29014952612205835
10000	0.3116608479599932
50000	0.3298754193925866
100000	0.3309642994291257
500000	0.33104863527308653
1000000	0.33090909035527616
10000000	0.33076720465502646
100000000	0.3307506982408877
