Total energy (eV)	F	E0
vdW-opt88/Graphite/a_0/Etot/OUTCAR	-37.25925537	-37.25920543
vdW-opt88/Graphite/a_10/Etot/OUTCAR	-37.14871901	-37.14866025
vdW-opt88/Graphite/a_1/Etot/OUTCAR	-37.25711221	-37.25705822
vdW-opt88/Graphite/a_2/Etot/OUTCAR	-37.24894215	-37.24888579
vdW-opt88/Graphite/a_3/Etot/OUTCAR	-37.23701276	-37.23695527
vdW-opt88/Graphite/a_4/Etot/OUTCAR	-37.22028896	-37.22023082
vdW-opt88/Graphite/a_5/Etot/OUTCAR	-37.20513909	-37.20508061
vdW-opt88/Graphite/a_6/Etot/OUTCAR	-37.18948197	-37.18942336
vdW-opt88/Graphite/a_7/Etot/OUTCAR	-37.17783816	-37.17777947
vdW-opt88/Graphite/a_8/Etot/OUTCAR	-37.16529728	-37.16523854
vdW-opt88/Graphite/a_9/Etot/OUTCAR	-37.15684755	-37.15678880
