Total energy (eV)	F	E0
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_0/Etot/OUTCAR	-37.26819752	-37.26819752
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_10/Etot/OUTCAR	-35.65625534	-35.65624886
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_1/Etot/OUTCAR	-37.26451016	-37.26451016
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_2/Etot/OUTCAR	-37.24778691	-37.24778691
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_3/Etot/OUTCAR	-37.21403220	-37.21403220
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_4/Etot/OUTCAR	-37.16136698	-37.16136698
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_5/Etot/OUTCAR	-37.07308390	-37.07308390
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_6/Etot/OUTCAR	-36.94552551	-36.94552551
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_7/Etot/OUTCAR	-36.75968014	-36.75968014
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_8/Etot/OUTCAR	-36.50076497	-36.50076497
2D_Layers/L_L_distance/vdW-opt88/Graphite/a_9/Etot/OUTCAR	-36.14159878	-36.14159878
