	GaAs_ABS.txt
100	0.31562034806315126
250	0.33059564075292286
500	0.3310866245021464
1000	0.3310888235280606
2000	0.33108882358092745
5000	0.33108882358092745
10000	0.33108882358092745
50000	0.33108882358092745
100000	0.33108882358092745
500000	0.33108882358092745
1000000	0.33108882358092745
10000000	0.33108882358092745
100000000	0.33108882358092745
